,Osaka,Kyoto,Hyogo,Shiga,Nara,Wakayama
Osaka,0.0,1.237425635478637,3.025,0.5347222222222222,1.4649227110582639,0.21284600913732868
Kyoto,1.237425635478637,0.0,0.34912109375,3.0082644628099175,0.2520775623268698,0.02205674427372985
Hyogo,3.025,0.34912109375,0.0,0.14853395061728394,0.21388888888888888,0.1830621301775148
Shiga,0.5347222222222222,3.0082644628099175,0.14853395061728394,0.0,0.1225,0.010802469135802469
Nara,1.4649227110582639,0.2520775623268698,0.21388888888888888,0.1225,0.0,0.0196875
Wakayama,0.21284600913732868,0.02205674427372985,0.1830621301775148,0.010802469135802469,0.0196875,0.0
